Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Time: 41.71 s, dT: 0.1000 s, Temp: 54.90 C, Target: 51.95 C, Output: 0
Time: 41.81 s, dT: 0.1000 s, Temp: 54.86 C, Target: 51.98 C, Output: 0
Time: 41.91 s, dT: 0.1000 s, Temp: 54.95 C, Target: 52.00 C, Output: 0
Time: 42.01 s, dT: 0.1000 s, Temp: 54.93 C, Target: 52.03 C, Output: 0
Time: 42.11 s, dT: 0.1000 s, Temp: 54.86 C, Target: 52.05 C, Output: 0
Time: 42.21 s, dT: 0.1000 s, Temp: 54.92 C, Target: 52.08 C, Output: 0
Time: 42.31 s, dT: 0.1000 s, Temp: 54.88 C, Target: 52.10 C, Output: 0
Time: 42.41 s, dT: 0.1000 s, Temp: 54.84 C, Target: 52.13 C, Output: 0
Time: 42.51 s, dT: 0.1000 s, Temp: 54.84 C, Target: 52.15 C, Output: 0
Time: 42.61 s, dT: 0.1000 s, Temp: 54.88 C, Target: 52.18 C, Output: 0
Time: 42.71 s, dT: 0.1000 s, Temp: 54.84 C, Target: 52.20 C, Output: 0
Time: 42.81 s, dT: 0.1000 s, Temp: 54.79 C, Target: 52.23 C, Output: 0
Time: 42.91 s, dT: 0.1000 s, Temp: 54.74 C, Target: 52.25 C, Output: 0
Time: 43.01 s, dT: 0.1000 s, Temp: 54.79 C, Target: 52.28 C, Output: 0
Time: 43.11 s, dT: 0.1000 s, Temp: 54.90 C, Target: 52.30 C, Output: 0
Time: 43.21 s, dT: 0.1000 s, Temp: 54.84 C, Target: 52.33 C, Output: 0
Time: 43.31 s, dT: 0.1000 s, Temp: 54.81 C, Target: 52.35 C, Output: 0
Time: 43.41 s, dT: 0.1000 s, Temp: 54.74 C, Target: 52.38 C, Output: 0
Time: 43.51 s, dT: 0.1000 s, Temp: 54.86 C, Target: 52.40 C, Output: 0
Time: 43.61 s, dT: 0.1000 s, Temp: 54.84 C, Target: 52.43 C, Output: 0
Time: 43.71 s, dT: 0.1000 s, Temp: 54.72 C, Target: 52.45 C, Output: 0
Time: 43.81 s, dT: 0.1000 s, Temp: 54.80 C, Target: 52.48 C, Output: 0
Time: 43.91 s, dT: 0.1000 s, Temp: 54.73 C, Target: 52.50 C, Output: 0
Time: 44.01 s, dT: 0.1000 s, Temp: 54.88 C, Target: 52.53 C, Output: 0
Time: 44.11 s, dT: 0.1000 s, Temp: 54.88 C, Target: 52.55 C, Output: 0
Time: 44.21 s, dT: 0.1010 s, Temp: 54.81 C, Target: 52.58 C, Output: 0
Time: 44.31 s, dT: 0.1000 s, Temp: 54.81 C, Target: 52.60 C, Output: 0
Time: 44.41 s, dT: 0.1000 s, Temp: 54.84 C, Target: 52.63 C, Output: 0
Time: 44.51 s, dT: 0.1000 s, Temp: 54.86 C, Target: 52.65 C, Output: 0
Time: 44.61 s, dT: 0.1000 s, Temp: 54.81 C, Target: 52.68 C, Output: 0
Time: 44.71 s, dT: 0.1000 s, Temp: 54.81 C, Target: 52.70 C, Output: 0
Time: 44.81 s, dT: 0.1000 s, Temp: 54.81 C, Target: 52.73 C, Output: 0
Time: 44.91 s, dT: 0.1000 s, Temp: 54.77 C, Target: 52.75 C, Output: 0
Time: 45.01 s, dT: 0.1000 s, Temp: 54.70 C, Target: 52.78 C, Output: 0
Time: 45.11 s, dT: 0.1000 s, Temp: 54.77 C, Target: 52.80 C, Output: 0
Time: 45.21 s, dT: 0.1000 s, Temp: 54.82 C, Target: 52.83 C, Output: 0
Time: 45.31 s, dT: 0.1000 s, Temp: 54.86 C, Target: 52.85 C, Output: 0
Time: 45.41 s, dT: 0.1000 s, Temp: 54.68 C, Target: 52.88 C, Output: 0
Time: 45.51 s, dT: 0.1000 s, Temp: 54.80 C, Target: 52.90 C, Output: 0
Time: 45.61 s, dT: 0.1000 s, Temp: 54.81 C, Target: 52.93 C, Output: 0
Time: 45.71 s, dT: 0.1000 s, Temp: 54.77 C, Target: 52.95 C, Output: 0
Time: 45.81 s, dT: 0.1000 s, Temp: 54.86 C, Target: 52.98 C, Output: 0
Time: 45.91 s, dT: 0.1000 s, Temp: 54.75 C, Target: 53.00 C, Output: 0
Time: 46.01 s, dT: 0.1000 s, Temp: 54.77 C, Target: 53.03 C, Output: 0
Time: 46.11 s, dT: 0.1000 s, Temp: 54.70 C, Target: 53.05 C, Output: 0
Time: 46.21 s, dT: 0.1000 s, Temp: 54.65 C, Target: 53.08 C, Output: 0
Time: 46.31 s, dT: 0.1000 s, Temp: 54.70 C, Target: 53.10 C, Output: 0
Time: 46.41 s, dT: 0.1000 s, Temp: 54.70 C, Target: 53.13 C, Output: 0
Time: 46.51 s, dT: 0.1000 s, Temp: 54.73 C, Target: 53.15 C, Output: 0
Time: 46.61 s, dT: 0.1000 s, Temp: 54.67 C, Target: 53.18 C, Output: 0
Time: 46.71 s, dT: 0.1000 s, Temp: 54.66 C, Target: 53.20 C, Output: 0
Time: 46.81 s, dT: 0.1000 s, Temp: 54.68 C, Target: 53.23 C, Output: 0
Time: 46.91 s, dT: 0.1000 s, Temp: 54.66 C, Target: 53.25 C, Output: 0
Time: 47.01 s, dT: 0.1000 s, Temp: 54.65 C, Target: 53.28 C, Output: 0
Time: 47.11 s, dT: 0.1000 s, Temp: 54.68 C, Target: 53.30 C, Output: 0
Time: 47.21 s, dT: 0.1000 s, Temp: 54.72 C, Target: 53.33 C, Output: 0
Time: 47.31 s, dT: 0.1000 s, Temp: 54.72 C, Target: 53.35 C, Output: 0
Time: 47.41 s, dT: 0.1000 s, Temp: 54.75 C, Target: 53.38 C, Output: 0
Time: 47.51 s, dT: 0.1000 s, Temp: 54.73 C, Target: 53.40 C, Output: 0
Time: 47.61 s, dT: 0.1000 s, Temp: 54.66 C, Target: 53.43 C, Output: 0
Time: 47.71 s, dT: 0.1000 s, Temp: 54.74 C, Target: 53.45 C, Output: 0
Time: 47.81 s, dT: 0.1000 s, Temp: 54.67 C, Target: 53.48 C, Output: 0
Time: 47.91 s, dT: 0.1000 s, Temp: 54.61 C, Target: 53.50 C, Output: 0
Time: 48.01 s, dT: 0.1000 s, Temp: 54.59 C, Target: 53.53 C, Output: 0
Time: 48.11 s, dT: 0.1000 s, Temp: 54.61 C, Target: 53.55 C, Output: 0
Time: 48.21 s, dT: 0.1000 s, Temp: 54.62 C, Target: 53.58 C, Output: 0
Time: 48.31 s, dT: 0.1000 s, Temp: 54.70 C, Target: 53.60 C, Output: 0
Time: 48.41 s, dT: 0.1000 s, Temp: 54.67 C, Target: 53.63 C, Output: 0
Time: 48.51 s, dT: 0.1000 s, Temp: 54.62 C, Target: 53.65 C, Output: 0
Time: 48.61 s, dT: 0.1000 s, Temp: 54.67 C, Target: 53.68 C, Output: 0
Time: 48.71 s, dT: 0.1000 s, Temp: 54.65 C, Target: 53.70 C, Output: 0
Time: 48.81 s, dT: 0.1000 s, Temp: 54.65 C, Target: 53.73 C, Output: 0
Time: 48.91 s, dT: 0.1000 s, Temp: 54.66 C, Target: 53.75 C, Output: 0
Time: 49.01 s, dT: 0.1000 s, Temp: 54.73 C, Target: 53.78 C, Output: 0
Time: 49.11 s, dT: 0.1000 s, Temp: 54.57 C, Target: 53.80 C, Output: 0
Time: 49.21 s, dT: 0.1000 s, Temp: 54.66 C, Target: 53.83 C, Output: 0
Time: 49.31 s, dT: 0.1000 s, Temp: 54.63 C, Target: 53.85 C, Output: 0
Time: 49.41 s, dT: 0.1000 s, Temp: 54.67 C, Target: 53.88 C, Output: 0
Time: 49.51 s, dT: 0.1000 s, Temp: 54.67 C, Target: 53.90 C, Output: 0
Time: 49.61 s, dT: 0.1000 s, Temp: 54.62 C, Target: 53.93 C, Output: 0
Time: 49.71 s, dT: 0.1000 s, Temp: 54.59 C, Target: 53.95 C, Output: 0
Time: 49.81 s, dT: 0.1000 s, Temp: 54.70 C, Target: 53.98 C, Output: 0
Time: 49.91 s, dT: 0.1000 s, Temp: 54.65 C, Target: 54.00 C, Output: 0
Time: 50.01 s, dT: 0.1000 s, Temp: 54.56 C, Target: 54.03 C, Output: 0
Time: 50.11 s, dT: 0.1000 s, Temp: 54.63 C, Target: 54.05 C, Output: 0
Time: 50.21 s, dT: 0.1000 s, Temp: 54.62 C, Target: 54.08 C, Output: 0
Time: 50.31 s, dT: 0.1000 s, Temp: 54.63 C, Target: 54.10 C, Output: 0
Time: 50.41 s, dT: 0.1000 s, Temp: 54.65 C, Target: 54.13 C, Output: 0
Time: 50.51 s, dT: 0.1000 s, Temp: 54.59 C, Target: 54.15 C, Output: 0
