Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
00 C, Output: 0
Time: 46.91 s, dT: 0.1000 s, Temp: 25.62 C, Target: 59.58 C, Output: 255
Time: 47.01 s, dT: 0.1000 s, Temp: 25.63 C, Target: 59.62 C, Output: 255
Time: 47.11 s, dT: 0.1010 s, Temp: 25.64 C, Target: 59.67 C, Output: 255
Time: 47.21 s, dT: 0.1000 s, Temp: 25.60 C, Target: 59.71 C, Output: 255
Time: 47.31 s, dT: 0.1000 s, Temp: 25.63 C, Target: 59.76 C, Output: 255
Time: 47.41 s, dT: 0.1000 s, Temp: 25.59 C, Target: 59.81 C, Output: 255
Time: 47.51 s, dT: 0.1000 s, Temp: 25.52 C, Target: 59.85 C, Output: 255
Time: 47.61 s, dT: 0.1000 s, Temp: 25.63 C, Target: 59.90 C, Output: 255
Time: 47.71 s, dT: 0.1000 s, Temp: 25.63 C, Target: 59.95 C, Output: 255
Time: 47.81 s, dT: 0.1000 s, Temp: 25.66 C, Target: 59.99 C, Output: 255
Time: 47.91 s, dT: 0.1000 s, Temp: 25.69 C, Target: 60.04 C, Output: 255
Time: 48.01 s, dT: 0.1000 s, Temp: 25.68 C, Target: 60.08 C, Output: 255
Time: 48.11 s, dT: 0.1000 s, Temp: 25.63 C, Target: 60.13 C, Output: 255
Time: 48.21 s, dT: 0.1000 s, Temp: 25.68 C, Target: 60.18 C, Output: 255
Time: 48.31 s, dT: 0.1000 s, Temp: 25.62 C, Target: 60.22 C, Output: 255
Time: 48.41 s, dT: 0.1000 s, Temp: 25.64 C, Target: 60.27 C, Output: 255
Time: 48.51 s, dT: 0.1000 s, Temp: 25.68 C, Target: 60.32 C, Output: 255
Time: 48.61 s, dT: 0.1000 s, Temp: 25.69 C, Target: 60.36 C, Output: 255
Time: 48.71 s, dT: 0.1000 s, Temp: 25.69 C, Target: 60.41 C, Output: 255
Time: 48.81 s, dT: 0.1000 s, Temp: 25.66 C, Target: 60.45 C, Output: 255
Time: 48.91 s, dT: 0.1000 s, Temp: 25.63 C, Target: 60.50 C, Output: 255
Time: 49.01 s, dT: 0.1000 s, Temp: 25.64 C, Target: 60.55 C, Output: 255
Time: 49.11 s, dT: 0.1000 s, Temp: 25.66 C, Target: 60.59 C, Output: 255
Time: 49.21 s, dT: 0.1000 s, Temp: 25.74 C, Target: 60.64 C, Output: 255
Time: 49.31 s, dT: 0.1000 s, Temp: 25.73 C, Target: 60.69 C, Output: 255
Time: 49.41 s, dT: 0.1000 s, Temp: 25.70 C, Target: 60.73 C, Output: 255
