Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0.1000 s, Temp: 46.89 C, Target: 54.32 C, Output: 175
Time: 37.21 s, dT: 0.1000 s, Temp: 61.90 C, Target: 63.28 C, Output: 120
Time: 37.31 s, dT: 0.1000 s, Temp: 62.02 C, Target: 63.32 C, Output: 118
Time: 37.41 s, dT: 0.1000 s, Temp: 62.16 C, Target: 63.37 C, Output: 116
Time: 37.51 s, dT: 0.1000 s, Temp: 62.29 C, Target: 63.41 C, Output: 115
Time: 37.61 s, dT: 0.1000 s, Temp: 62.41 C, Target: 63.46 C, Output: 113
Time: 37.71 s, dT: 0.1000 s, Temp: 62.44 C, Target: 63.50 C, Output: 115
Time: 37.81 s, dT: 0.1000 s, Temp: 62.46 C, Target: 63.55 C, Output: 115
Time: 37.91 s, dT: 0.1000 s, Temp: 62.76 C, Target: 63.59 C, Output: 108
Time: 38.01 s, dT: 0.1000 s, Temp: 62.77 C, Target: 63.64 C, Output: 111
Time: 38.11 s, dT: 0.1000 s, Temp: 62.90 C, Target: 63.68 C, Output: 108
Time: 38.21 s, dT: 0.1000 s, Temp: 63.09 C, Target: 63.73 C, Output: 105
Time: 38.31 s, dT: 0.1000 s, Temp: 63.09 C, Target: 63.77 C, Output: 108
Time: 38.41 s, dT: 0.1000 s, Temp: 63.16 C, Target: 63.82 C, Output: 106
Time: 38.51 s, dT: 0.1000 s, Temp: 63.38 C, Target: 63.86 C, Output: 101
Time: 38.61 s, dT: 0.1000 s, Temp: 63.45 C, Target: 63.91 C, Output: 103
Time: 38.71 s, dT: 0.1000 s, Temp: 63.54 C, Target: 63.95 C, Output: 101
Time: 38.81 s, dT: 0.1000 s, Temp: 63.59 C, Target: 64.00 C, Output: 102
Time: 38.91 s, dT: 0.1000 s, Temp: 63.86 C, Target: 64.04 C, Output: 95
Time: 39.01 s, dT: 0.1000 s, Temp: 63.92 C, Target: 64.09 C, Output: 97
Time: 39.11 s, dT: 0.1000 s, Temp: 63.92 C, Target: 64.13 C, Output: 98
Time: 39.21 s, dT: 0.1000 s, Temp: 64.11 C, Target: 64.18 C, Output: 94
Time: 39.31 s, dT: 0.1000 s, Temp: 64.16 C, Target: 64.22 C, Output: 95
Time: 39.41 s, dT: 0.1000 s, Temp: 64.27 C, Target: 64.27 C, Output: 93
Time: 39.51 s, dT: 0.1000 s, Temp: 64.40 C, Target: 64.31 C, Output: 91
Time: 39.61 s, dT: 0.1000 s, Temp: 64.46 C, Target: 64.36 C, Output: 91
Time: 39.71 s, dT: 0.1000 s, Temp: 64.55 C, Target: 64.40 C, Output: 90
Time: 39.81 s, dT: 0.1000 s, Temp: 64.63 C, Target: 64.45 C, Output: 90
Time: 39.91 s, dT: 0.1000 s, Temp: 64.85 C, Target: 64.49 C, Output: 85
Time: 40.01 s, dT: 0.1000 s, Temp: 64.95 C, Target: 64.54 C, Output: 85
Time: 40.11 s, dT: 0.1000 s, Temp: 65.05 C, Target: 64.58 C, Output: 84
Time: 40.21 s, dT: 0.1000 s, Temp: 65.14 C, Target: 64.63 C, Output: 83
Time: 40.31 s, dT: 0.1000 s, Temp: 65.27 C, Target: 64.67 C, Output: 81
Time: 40.41 s, dT: 0.1000 s, Temp: 65.31 C, Target: 64.72 C, Output: 82
Time: 40.51 s, dT: 0.1000 s, Temp: 65.49 C, Target: 64.76 C, Output: 77
Time: 40.61 s, dT: 0.1000 s, Temp: 65.54 C, Target: 64.81 C, Output: 79
Time: 40.71 s, dT: 0.1000 s, Temp: 65.59 C, Target: 64.85 C, Output: 79
Time: 40.81 s, dT: 0.1000 s, Temp: 65.79 C, Target: 64.90 C, Output: 74
Time: 40.91 s, dT: 0.1000 s, Temp: 65.74 C, Target: 64.94 C, Output: 78
Time: 41.01 s, dT: 0.1000 s, Temp: 65.86 C, Target: 64.99 C, Output: 75
Time: 41.11 s, dT: 0.1000 s, Temp: 65.94 C, Target: 65.03 C, Output: 75
Time: 41.21 s, dT: 0.1000 s, Temp: 66.09 C, Target: 65.08 C, Output: 72
