Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 49.50 s, dT: 0.1000 s, Temp: 25.50 C, Target: 53.15 C, Output: 255
Time: 49.60 s, dT: 0.1000 s, Temp: 25.50 C, Target: 53.19 C, Output: 255
Time: 49.70 s, dT: 0.1000 s, Temp: 25.45 C, Target: 53.24 C, Output: 255
Time: 49.80 s, dT: 0.1000 s, Temp: 25.39 C, Target: 53.28 C, Output: 255
Time: 49.90 s, dT: 0.1000 s, Temp: 25.44 C, Target: 53.33 C, Output: 255
Time: 50.00 s, dT: 0.1000 s, Temp: 25.41 C, Target: 53.38 C, Output: 255
Time: 50.10 s, dT: 0.1000 s, Temp: 25.52 C, Target: 53.42 C, Output: 255
Time: 50.20 s, dT: 0.1000 s, Temp: 25.44 C, Target: 53.47 C, Output: 255
Time: 50.30 s, dT: 0.1000 s, Temp: 25.54 C, Target: 53.52 C, Output: 255
Time: 50.40 s, dT: 0.1000 s, Temp: 25.52 C, Target: 53.56 C, Output: 255
Time: 50.50 s, dT: 0.1000 s, Temp: 25.46 C, Target: 53.61 C, Output: 255
Time: 50.60 s, dT: 0.1000 s, Temp: 25.52 C, Target: 53.65 C, Output: 255
Time: 50.70 s, dT: 0.1000 s, Temp: 25.46 C, Target: 53.70 C, Output: 255
Time: 50.80 s, dT: 0.1000 s, Temp: 25.50 C, Target: 53.75 C, Output: 255
Time: 50.90 s, dT: 0.1000 s, Temp: 25.52 C, Target: 53.79 C, Output: 255
Time: 51.00 s, dT: 0.1000 s, Temp: 25.52 C, Target: 53.84 C, Output: 255
Time: 51.10 s, dT: 0.1000 s, Temp: 25.56 C, Target: 53.89 C, Output: 255
Time: 51.20 s, dT: 0.1000 s, Temp: 25.54 C, Target: 53.93 C, Output: 255
Time: 51.30 s, dT: 0.1000 s, Temp: 25.57 C, Target: 53.98 C, Output: 255
Time: 51.40 s, dT: 0.1000 s, Temp: 25.63 C, Target: 54.02 C, Output: 255
Time: 51.50 s, dT: 0.1000 s, Temp: 25.63 C, Target: 54.07 C, Output: 255
Time: 51.60 s, dT: 0.1000 s, Temp: 25.61 C, Target: 54.12 C, Output: 255
Time: 51.70 s, dT: 0.1000 s, Temp: 25.60 C, Target: 54.16 C, Output: 255
