Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 78.80 s, Temp: 57.15 C, Target: 72.33 C, Output: 255.00
Time: 79.07 s, Temp: 57.20 C, Target: 72.40 C, Output: 255.00
Time: 79.33 s, Temp: 57.23 C, Target: 72.48 C, Output: 255.00
Time: 79.59 s, Temp: 57.17 C, Target: 72.55 C, Output: 255.00
Time: 79.86 s, Temp: 57.23 C, Target: 72.63 C, Output: 255.00
Time: 80.12 s, Temp: 57.16 C, Target: 72.70 C, Output: 255.00
Time: 80.38 s, Temp: 57.15 C, Target: 72.77 C, Output: 255.00
Time: 80.64 s, Temp: 57.24 C, Target: 72.85 C, Output: 255.00
Time: 80.91 s, Temp: 57.20 C, Target: 72.92 C, Output: 255.00
Time: 81.17 s, Temp: 57.22 C, Target: 73.00 C, Output: 255.00
Time: 81.43 s, Temp: 57.20 C, Target: 73.07 C, Output: 255.00
Time: 81.70 s, Temp: 57.20 C, Target: 73.15 C, Output: 255.00
Time: 81.96 s, Temp: 57.24 C, Target: 73.22 C, Output: 255.00
Time: 82.22 s, Temp: 57.18 C, Target: 73.30 C, Output: 255.00
Time: 82.49 s, Temp: 57.29 C, Target: 73.37 C, Output: 255.00
Time: 82.75 s, Temp: 57.24 C, Target: 73.45 C, Output: 255.00
Time: 83.01 s, Temp: 57.20 C, Target: 73.52 C, Output: 255.00
Time: 83.27 s, Temp: 57.25 C, Target: 73.59 C, Output: 255.00
Time: 83.54 s, Temp: 57.34 C, Target: 73.67 C, Output: 255.00
Time: 83.80 s, Temp: 57.32 C, Target: 73.74 C, Output: 255.00
Time: 84.06 s, Temp: 57.31 C, Target: 73.82 C, Output: 255.00
Time: 84.33 s, Temp: 57.27 C, Target: 73.89 C, Output: 255.00
Time: 84.59 s, Temp: 57.34 C, Target: 73.97 C, Output: 255.00
Time: 84.85 s, Temp: 57.38 C, Target: 74.04 C, Output: 255.00
Time: 85.12 s, Temp: 57.32 C, Target: 74.12 C, Output: 255.00
Time: 85.38 s, Temp: 57.41 C, Target: 74.19 C, Output: 255.00
Time: 85.64 s, Temp: 57.40 C, Target: 74.27 C, Output: 255.00
Time: 85.90 s, Temp: 57.45 C, Target: 74.34 C, Output: 255.00
Time: 86.17 s, Temp: 57.45 C, Target: 74.41 C, Output: 255.00
Time: 86.43 s, Temp: 57.48 C, Target: 74.49 C, Output: 255.00
Time: 86.69 s, Temp: 57.45 C, Target: 74.56 C, Output: 255.00
Time: 86.96 s, Temp: 57.52 C, Target: 74.64 C, Output: 255.00
Time: 87.22 s, Temp: 57.57 C, Target: 74.71 C, Output: 255.00
Time: 87.48 s, Temp: 57.52 C, Target: 74.79 C, Output: 255.00
