Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 31.73 s, Temp: 48.88 C, Target: 57.93 C, Output: 185.45
Time: 31.99 s, Temp: 48.94 C, Target: 58.00 C, Output: 178.10
Time: 32.26 s, Temp: 48.94 C, Target: 58.06 C, Output: 182.54
Time: 32.52 s, Temp: 48.95 C, Target: 58.13 C, Output: 183.31
Time: 32.78 s, Temp: 48.91 C, Target: 58.20 C, Output: 187.20
Time: 33.05 s, Temp: 48.83 C, Target: 58.26 C, Output: 192.96
Time: 33.31 s, Temp: 48.86 C, Target: 58.33 C, Output: 187.79
Time: 33.57 s, Temp: 48.86 C, Target: 58.39 C, Output: 190.67
Time: 33.84 s, Temp: 48.88 C, Target: 58.46 C, Output: 190.89
Time: 34.10 s, Temp: 48.91 C, Target: 58.52 C, Output: 190.26
Time: 34.36 s, Temp: 48.86 C, Target: 58.59 C, Output: 197.36
Time: 34.63 s, Temp: 48.83 C, Target: 58.66 C, Output: 198.13
Time: 34.89 s, Temp: 48.79 C, Target: 58.72 C, Output: 200.61
Time: 35.15 s, Temp: 48.83 C, Target: 58.79 C, Output: 197.24
Time: 35.41 s, Temp: 48.78 C, Target: 58.85 C, Output: 203.79
Time: 35.68 s, Temp: 48.78 C, Target: 58.92 C, Output: 202.77
Time: 35.94 s, Temp: 48.94 C, Target: 58.99 C, Output: 193.14
Time: 36.20 s, Temp: 48.74 C, Target: 59.05 C, Output: 215.94
Time: 36.47 s, Temp: 48.83 C, Target: 59.12 C, Output: 201.48
Time: 36.73 s, Temp: 48.81 C, Target: 59.18 C, Output: 208.18
Time: 36.99 s, Temp: 48.81 C, Target: 59.25 C, Output: 208.71
Time: 37.26 s, Temp: 48.64 C, Target: 59.31 C, Output: 222.07
Time: 37.52 s, Temp: 48.71 C, Target: 59.38 C, Output: 209.87
Time: 37.78 s, Temp: 48.70 C, Target: 59.45 C, Output: 215.24
Time: 38.05 s, Temp: 48.73 C, Target: 59.51 C, Output: 213.98
Time: 38.31 s, Temp: 48.76 C, Target: 59.58 C, Output: 215.22
Time: 38.57 s, Temp: 48.71 C, Target: 59.64 C, Output: 220.98
Time: 38.84 s, Temp: 48.70 C, Target: 59.71 C, Output: 220.50
Time: 39.10 s, Temp: 48.72 C, Target: 59.77 C, Output: 220.33
Time: 39.36 s, Temp: 48.63 C, Target: 59.84 C, Output: 228.45
Time: 39.62 s, Temp: 48.73 C, Target: 59.91 C, Output: 218.35
Time: 39.89 s, Temp: 48.66 C, Target: 59.97 C, Output: 229.67
Time: 40.15 s, Temp: 48.70 C, Target: 60.04 C, Output: 224.73
Time: 40.41 s, Temp: 48.56 C, Target: 60.10 C, Output: 237.85
Time: 40.68 s, Temp: 48.68 C, Target: 60.17 C, Output: 223.93
Time: 40.94 s, Temp: 48.57 C, Target: 60.24 C, Output: 238.76
Time: 41.20 s, Temp: 48.72 C, Target: 60.30 C, Output: 224.22
Time: 41.47 s, Temp: 48.61 C, Target: 60.37 C, Output: 240.61
Time: 41.73 s, Temp: 48.59 C, Target: 60.43 C, Output: 238.10
Time: 41.99 s, Temp: 48.63 C, Target: 60.50 C, Output: 234.96
Time: 42.26 s, Temp: 48.59 C, Target: 60.56 C, Output: 241.36
Time: 42.52 s, Temp: 48.64 C, Target: 60.63 C, Output: 237.44
Time: 42.78 s, Temp: 48.59 C, Target: 60.70 C, Output: 244.93
Time: 43.04 s, Temp: 48.64 C, Target: 60.76 C, Output: 239.68
Time: 43.31 s, Temp: 48.59 C, Target: 60.83 C, Output: 247.01
Time: 43.57 s, Temp: 48.59 C, Target: 60.89 C, Output: 246.53
Time: 43.84 s, Temp: 48.50 C, Target: 60.96 C, Output: 253.47
Time: 44.10 s, Temp: 48.59 C, Target: 61.02 C, Output: 243.93
Time: 44.36 s, Temp: 48.62 C, Target: 61.09 C, Output: 248.28
Time: 44.62 s, Temp: 48.53 C, Target: 61.16 C, Output: 255.00
Time: 44.89 s, Temp: 48.57 C, Target: 61.22 C, Output: 251.07
Time: 45.15 s, Temp: 48.48 C, Target: 61.29 C, Output: 255.00
Time: 45.41 s, Temp: 48.46 C, Target: 61.35 C, Output: 255.00
Time: 45.68 s, Temp: 48.44 C, Target: 61.42 C, Output: 255.00
Time: 45.94 s, Temp: 48.52 C, Target: 61.48 C, Output: 254.93
Time: 46.20 s, Temp: 48.48 C, Target: 61.55 C, Output: 255.00
Time: 46.47 s, Temp: 48.48 C, Target: 61.62 C, Output: 255.00
Time: 46.73 s, Temp: 48.48 C, Target: 61.68 C, Output: 255.00
Time: 46.99 s, Temp: 48.44 C, Target: 61.75 C, Output: 255.00
Time: 47.26 s, Temp: 48.46 C, Target: 61.81 C, Output: 255.00
Time: 47.52 s, Temp: 48.46 C, Target: 61.88 C, Output: 255.00
Time: 47.78 s, Temp: 48.44 C, Target: 61.95 C, Output: 255.00
Time: 48.04 s, Temp: 48.41 C, Target: 62.01 C, Output: 255.00
Time: 48.31 s, Temp: 48.50 C, Target: 62.08 C, Output: 255.00
Time: 48.57 s, Temp: 48.44 C, Target: 62.14 C, Output: 255.00
Time: 48.83 s, Temp: 48.38 C, Target: 62.21 C, Output: 255.00
Time: 49.10 s, Temp: 48.43 C, Target: 62.27 C, Output: 255.00
Time: 49.36 s, Temp: 48.41 C, Target: 62.34 C, Output: 255.00
