Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 80.94 s, Temp: 52.97 C, Target: 123.58 C, Output: 255.00
Time: 81.20 s, Temp: 53.16 C, Target: 123.82 C, Output: 255.00
Time: 81.47 s, Temp: 53.30 C, Target: 124.06 C, Output: 255.00
Time: 81.73 s, Temp: 53.41 C, Target: 124.30 C, Output: 255.00
Time: 81.99 s, Temp: 53.68 C, Target: 124.54 C, Output: 255.00
Time: 82.26 s, Temp: 53.76 C, Target: 124.78 C, Output: 255.00
Time: 82.52 s, Temp: 53.93 C, Target: 125.02 C, Output: 255.00
Time: 82.78 s, Temp: 54.02 C, Target: 125.26 C, Output: 255.00
Time: 83.05 s, Temp: 54.27 C, Target: 125.50 C, Output: 255.00
Time: 83.31 s, Temp: 54.34 C, Target: 125.74 C, Output: 255.00
Time: 83.57 s, Temp: 54.50 C, Target: 125.97 C, Output: 255.00
Time: 83.83 s, Temp: 54.65 C, Target: 126.21 C, Output: 255.00
Time: 84.10 s, Temp: 54.74 C, Target: 126.45 C, Output: 255.00
Time: 84.36 s, Temp: 54.98 C, Target: 126.69 C, Output: 255.00
Time: 84.62 s, Temp: 55.10 C, Target: 126.93 C, Output: 255.00
Time: 84.89 s, Temp: 55.27 C, Target: 127.17 C, Output: 255.00
Time: 85.15 s, Temp: 55.45 C, Target: 127.41 C, Output: 255.00
Time: 85.41 s, Temp: 55.60 C, Target: 127.65 C, Output: 255.00
Time: 85.68 s, Temp: 55.77 C, Target: 127.89 C, Output: 255.00
Time: 85.94 s, Temp: 55.84 C, Target: 128.13 C, Output: 255.00
Time: 86.20 s, Temp: 55.99 C, Target: 128.37 C, Output: 255.00
Time: 86.47 s, Temp: 56.16 C, Target: 128.61 C, Output: 255.00
Time: 86.73 s, Temp: 56.35 C, Target: 128.85 C, Output: 255.00
Time: 86.99 s, Temp: 56.52 C, Target: 129.08 C, Output: 255.00
Time: 87.26 s, Temp: 56.71 C, Target: 129.32 C, Output: 255.00
Time: 87.52 s, Temp: 56.86 C, Target: 129.56 C, Output: 255.00
