Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
67 C, Target: 0.00 C, Output: 0
Time: 225.65 s, dT: 0.1010 s, Temp: 28.78 C, Target: 36.95 C, Output: 187
Time: 225.75 s, dT: 0.1010 s, Temp: 28.78 C, Target: 37.02 C, Output: 189
Time: 225.85 s, dT: 0.1000 s, Temp: 28.73 C, Target: 37.10 C, Output: 193
Time: 225.95 s, dT: 0.1010 s, Temp: 28.74 C, Target: 37.17 C, Output: 194
Time: 226.05 s, dT: 0.1000 s, Temp: 28.74 C, Target: 37.24 C, Output: 196
Time: 226.15 s, dT: 0.1010 s, Temp: 28.78 C, Target: 37.31 C, Output: 196
Time: 226.25 s, dT: 0.1000 s, Temp: 28.73 C, Target: 37.39 C, Output: 200
Time: 226.35 s, dT: 0.1010 s, Temp: 28.73 C, Target: 37.46 C, Output: 202
Time: 226.45 s, dT: 0.1000 s, Temp: 28.72 C, Target: 37.53 C, Output: 204
Time: 226.56 s, dT: 0.1010 s, Temp: 28.72 C, Target: 37.60 C, Output: 206
Time: 226.66 s, dT: 0.1010 s, Temp: 28.78 C, Target: 37.68 C, Output: 206
Time: 226.76 s, dT: 0.1010 s, Temp: 28.84 C, Target: 37.75 C, Output: 207
Time: 226.86 s, dT: 0.1010 s, Temp: 28.79 C, Target: 37.82 C, Output: 210
Time: 226.96 s, dT: 0.1010 s, Temp: 28.78 C, Target: 37.90 C, Output: 212
Time: 227.06 s, dT: 0.1000 s, Temp: 28.77 C, Target: 37.97 C, Output: 214
Time: 227.16 s, dT: 0.1010 s, Temp: 28.73 C, Target: 38.04 C, Output: 217
Time: 227.26 s, dT: 0.1000 s, Temp: 28.83 C, Target: 38.11 C, Output: 216
Time: 227.36 s, dT: 0.1010 s, Temp: 28.87 C, Target: 38.19 C, Output: 218
Time: 227.46 s, dT: 0.1000 s, Temp: 28.78 C, Target: 38.26 C, Output: 222
Time: 227.56 s, dT: 0.1010 s, Temp: 28.84 C, Target: 38.33 C, Output: 222
Time: 227.66 s, dT: 0.1000 s, Temp: 28.84 C, Target: 38.40 C, Output: 224
Time: 227.76 s, dT: 0.1010 s, Temp: 28.83 C, Target: 38.48 C, Output: 227
Time: 227.86 s, dT: 0.1000 s, Temp: 28.80 C, Target: 38.55 C, Output: 229
Time: 227.96 s, dT: 0.1010 s, Temp: 28.85 C, Target: 38.62 C, Output: 229
Time: 228.06 s, dT: 0.1000 s, Temp: 28.81 C, Target: 38.69 C, Output: 233
Time: 228.16 s, dT: 0.1010 s, Temp: 28.88 C, Target: 38.77 C, Output: 233
Time: 228.27 s, dT: 0.1010 s, Temp: 28.95 C, Target: 38.84 C, Output: 233
Time: 228.37 s, dT: 0.1010 s, Temp: 28.91 C, Target: 38.91 C, Output: 237
Time: 228.47 s, dT: 0.1010 s, Temp: 28.91 C, Target: 38.99 C, Output: 238
Time: 228.57 s, dT: 0.1010 s, Temp: 28.97 C, Target: 39.06 C, Output: 239
Time: 228.67 s, dT: 0.1010 s, Temp: 28.91 C, Target: 39.13 C, Output: 243
Time: 228.77 s, dT: 0.1010 s, Temp: 28.95 C, Target: 39.21 C, Output: 243
Time: 228.87 s, dT: 0.1000 s, Temp: 29.02 C, Target: 39.28 C, Output: 243
Time: 228.97 s, dT: 0.1000 s, Temp: 28.92 C, Target: 39.35 C, Output: 249
Time: 229.07 s, dT: 0.1000 s, Temp: 28.92 C, Target: 39.42 C, Output: 250
Time: 229.17 s, dT: 0.1010 s, Temp: 28.96 C, Target: 39.49 C, Output: 251
Time: 229.27 s, dT: 0.1010 s, Temp: 28.98 C, Target: 39.57 C, Output: 253
Time: 229.37 s, dT: 0.1010 s, Temp: 28.99 C, Target: 39.64 C, Output: 255
Time: 229.47 s, dT: 0.1010 s, Temp: 28.97 C, Target: 39.71 C, Output: 255
Time: 229.58 s, dT: 0.1010 s, Temp: 29.05 C, Target: 39.79 C, Output: 255
Time: 229.68 s, dT: 0.1010 s, Temp: 29.05 C, Target: 39.86 C, Output: 255
Time: 229.78 s, dT: 0.1010 s, Temp: 29.10 C, Target: 39.93 C, Output: 255
Time: 229.88 s, dT: 0.1000 s, Temp: 29.07 C, Target: 40.00 C, Output: 255
Time: 229.98 s, dT: 0.1010 s, Temp: 29.05 C, Target: 40.08 C, Output: 255
Time: 230.08 s, dT: 0.1000 s, Temp: 29.09 C, Target: 40.15 C, Output: 255
Time: 230.18 s, dT: 0.1010 s, Temp: 29.10 C, Target: 40.22 C, Output: 255
Time: 230.28 s, dT: 0.1010 s, Temp: 29.12 C, Target: 40.30 C, Output: 255
Time: 230.38 s, dT: 0.1010 s, Temp: 29.08 C, Target: 40.37 C, Output: 255
Time: 230.48 s, dT: 0.1010 s, Temp: 29.08 C, Target: 40.44 C, Output: 255
Time: 230.58 s, dT: 0.1010 s, Temp: 29.16 C, Target: 40.51 C, Output: 255
Time: 230.69 s, dT: 0.1010 s, Temp: 29.16 C, Target: 40.59 C, Output: 255
Time: 230.79 s, dT: 0.1010 s, Temp: 29.19 C, Target: 40.66 C, Output: 255
Time: 230.89 s, dT: 0.1010 s, Temp: 29.26 C, Target: 40.73 C, Output: 255
Time: 230.99 s, dT: 0.1010 s, Temp: 29.23 C, Target: 40.81 C, Output: 255
Time: 231.09 s, dT: 0.1000 s, Temp: 29.28 C, Target: 40.88 C, Output: 255
Time: 231.19 s, dT: 0.1000 s, Temp: 29.31 C, Target: 40.95 C, Output: 255
Time: 231.29 s, dT: 0.1000 s, Temp: 29.32 C, Target: 41.02 C, Output: 255
Time: 231.39 s, dT: 0.1010 s, Temp: 29.27 C, Target: 41.10 C, Output: 255
Time: 231.49 s, dT: 0.1000 s, Temp: 29.32 C, Target: 41.17 C, Output: 255
Time: 231.59 s, dT: 0.1000 s, Temp: 29.39 C, Target: 41.24 C, Output: 255
Time: 231.69 s, dT: 0.1000 s, Temp: 29.41 C, Target: 41.31 C, Output: 255
Time: 231.79 s, dT: 0.1010 s, Temp: 29.41 C, Target: 41.39 C, Output: 255
Time: 231.89 s, dT: 0.1010 s, Temp: 29.38 C, Target: 41.46 C, Output: 255
Time: 231.99 s, dT: 0.1010 s, Temp: 29.45 C, Target: 41.53 C, Output: 255
Time: 232.09 s, dT: 0.1000 s, Temp: 29.39 C, Target: 41.60 C, Output: 255
Time: 232.19 s, dT: 0.1000 s, Temp: 29.52 C, Target: 41.68 C, Output: 255
Time: 232.29 s, dT: 0.1000 s, Temp: 29.55 C, Target: 41.75 C, Output: 255
Time: 232.39 s, dT: 0.1010 s, Temp: 29.52 C, Target: 41.82 C, Output: 255
